h3_id,indicator,value_baseline,value_optimized,delta
89a8100c5a3ffff,S_abastecimento,10.31,10.352121,0.04212099999999985
89a8100c5a3ffff,S_lazer,37.42,37.713985,0.2939849999999993
89a8100c5a3ffff,S_servicos,22.71,22.71,0.0
89a8100c5a3ffff,I_seguranca,415.82,415.82,0.0
89a8100c5a3ffff,A_vegetacao,2.16,2.16,0.0
89a8100c5a3ffff,A_agua,0.01,0.01,0.0
89a8100c5a3ffff,C_conectividade,9.95,9.95,0.0
89a8100c5a3ffff,T_transporte,8.79,8.79,0.0
89a8100c5a3ffff,U_urbanidade,0.0,1.9328879999999997,1.9328879999999997
89a8100c5bbffff,S_saude,10.75,10.752892,0.0028919999999992285
89a8100c5bbffff,S_educacao,5.04,5.790861,0.7508609999999996
89a8100c5bbffff,S_abastecimento,10.18,10.18,0.0
89a8100c5bbffff,S_lazer,40.84,41.01587000000001,0.1758700000000033
89a8100c5bbffff,S_servicos,26.0,26.0,0.0
89a8100c5bbffff,I_seguranca,348.04,348.04,0.0
89a8100c5bbffff,A_vegetacao,1.45,1.45,0.0
89a8100c5bbffff,A_agua,0.01,0.01,0.0
89a8100c5bbffff,C_conectividade,9.11,9.11,0.0
89a8100c5bbffff,T_transporte,8.53,8.53,0.0
89a8100c5bbffff,U_urbanidade,0.0,1.403449,1.403449
89a8100c58fffff,S_saude,6.75,6.997652,0.24765200000000043
89a8100c58fffff,S_educacao,3.38,4.434577,1.054577
89a8100c58fffff,S_abastecimento,7.59,7.59,0.0
89a8100c58fffff,S_lazer,30.69,30.722368000000003,0.03236800000000173
89a8100c58fffff,S_servicos,20.36,20.495753999999998,0.1357539999999986
89a8100c58fffff,I_seguranca,288.99,288.99,0.0
89a8100c58fffff,A_vegetacao,1.88,1.88,0.0
89a8100c58fffff,A_agua,0.04,0.04,0.0
89a8100c58fffff,C_conectividade,8.49,8.49,0.0
89a8100c58fffff,T_transporte,7.09,7.09,0.0
89a8100c58fffff,U_urbanidade,0.0,1.756601,1.756601
89a8100c513ffff,S_saude,7.71,8.440722,0.7307219999999992
89a8100c513ffff,S_educacao,5.28,6.418308000000001,1.1383080000000003
89a8100c513ffff,S_abastecimento,10.3,10.3,0.0
89a8100c513ffff,S_lazer,39.01,39.066227999999995,0.05622799999999728
89a8100c513ffff,S_servicos,26.66,27.256979,0.596979000000001
89a8100c513ffff,I_seguranca,330.1,330.1,0.0
89a8100c513ffff,A_vegetacao,1.11,1.11,0.0
89a8100c513ffff,A_agua,0.01,0.01,0.0
89a8100c513ffff,C_conectividade,9.3,9.3,0.0
89a8100c513ffff,T_transporte,7.84,7.84,0.0
89a8100c513ffff,U_urbanidade,0.05,1.846034,1.796034
89a8100c51bffff,S_saude,16.92,17.916592,0.9965919999999997
89a8100c51bffff,S_educacao,9.49,10.442087,0.9520870000000006
89a8100c51bffff,S_abastecimento,13.17,13.17,0.0
89a8100c51bffff,S_lazer,72.83,72.833203,0.0032029999999991787
89a8100c51bffff,S_servicos,63.08,63.252544,0.17254400000000203
89a8100c51bffff,I_seguranca,430.55,430.55,0.0
89a8100c51bffff,A_vegetacao,1.83,1.83,0.0
89a8100c51bffff,A_agua,0.0,0.0,0.0
89a8100c51bffff,C_conectividade,9.94,9.94,0.0
89a8100c51bffff,T_transporte,15.31,15.31,0.0
89a8100c51bffff,U_urbanidade,1.37,2.257834,0.8878339999999998
89a8100c50bffff,S_saude,15.37,15.834162,0.46416199999999996
89a8100c50bffff,S_educacao,5.95,7.256057,1.306057
89a8100c50bffff,S_abastecimento,11.5,11.5,0.0
89a8100c50bffff,S_lazer,47.13,47.13,0.0
89a8100c50bffff,S_servicos,47.37,47.37,0.0
89a8100c50bffff,I_seguranca,399.6,399.6,0.0
89a8100c50bffff,A_vegetacao,2.13,2.13,0.0
89a8100c50bffff,A_agua,0.07,0.07,0.0
