seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,accepted_iterations,improvement_iterations,stopping_reason,final_perturbation_strength,seed_dir
9580,55.556000000000004,64.6234,10.619900000000001,19.665206884738957,173,30031,82.01017972291447,35,35,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_009580
2767,54.844899999999996,64.94030000000001,10.936800000000005,20.252020702361893,187,30014,82.01084474404342,26,26,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_002767
4332,55.930899999999994,64.7248,10.7213,19.85297249252363,181,30035,81.8985548519995,24,24,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_004332
4432,54.866099999999996,64.8063,10.80279999999999,20.003888636847595,182,30218,82.33967813290656,19,19,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_004432
4878,54.442499999999995,64.3561,10.352599999999995,19.170238965992937,177,30044,81.78769500809722,31,31,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_004878
2141,55.012100000000004,64.9716,10.968099999999993,20.309979908709607,184,30034,81.79959530802444,34,34,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_002141
596,55.48819999999999,65.6724,11.668899999999994,21.60767357671261,181,30047,81.9254821462091,34,34,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_000596
9723,54.64800000000001,64.69839999999999,10.69489999999999,19.804086772153635,171,30009,81.6094669229351,35,35,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_009723
8551,54.8647,65.1188,11.11529999999999,20.582554834408864,169,30125,81.98302769986913,25,25,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_008551
1273,55.424400000000006,64.40440000000001,10.400900000000007,19.259677613488027,187,30083,81.75828073802404,23,23,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_001273
4374,55.625699999999995,65.2745,11.271,20.870869480681808,182,30058,81.74910868401639,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_004374
7206,55.1378,65.05160000000001,11.048100000000005,20.458118455285312,187,30045,81.82778310705908,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_007206
6473,55.18000000000001,64.4739,10.470399999999998,19.388372975825636,176,30141,82.59991604881361,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_006473
2133,55.93979999999999,64.6557,10.652199999999993,19.725017822918872,172,30032,82.35186248412356,25,25,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_002133
5230,55.62220000000001,65.048,11.0445,20.451452220689397,165,30056,81.8942769789137,35,35,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_005230
